"land_id","study","barrel","bullet","land","source","H173_B1_index","damaged","cc","cc_pred","cc_manual","groove_left","groove_right"
"Hamby173-Br6-B2-L3","Hamby173","6","2",3,"NBTRD/Hamby 173 (2009) Barrel/bullets/br6_2_land3.x3p","Hamby173-Br6-B1-L2",FALSE,50,50,FALSE,115.625,2339.0625
"Hamby173-Br6-B2-L4","Hamby173","6","2",4,"NBTRD/Hamby 173 (2009) Barrel/bullets/br6_2_land4.x3p","Hamby173-Br6-B1-L3",FALSE,59.375,25,TRUE,270.3125,2285.9375
"Hamby173-Br6-B2-L5","Hamby173","6","2",5,"NBTRD/Hamby 173 (2009) Barrel/bullets/br6_2_land5.x3p","Hamby173-Br6-B1-L4",FALSE,0,0,FALSE,407.074966931216,2292.51653911564
"Hamby173-Br6-B2-L6","Hamby173","6","2",6,"NBTRD/Hamby 173 (2009) Barrel/bullets/br6_2_land6.x3p","Hamby173-Br6-B1-L5",FALSE,92.1875,25,TRUE,356.25,2279.6875
"Hamby173-Br7-B1-L1","Hamby173","7","1",1,"NBTRD/Hamby 173 (2009) Barrel/bullets/br7_1_land1.x3p","Hamby173-Br7-B1-L1",FALSE,25,25,FALSE,98.1971814019024,2010.9375
"Hamby173-Br7-B1-L2","Hamby173","7","1",2,"NBTRD/Hamby 173 (2009) Barrel/bullets/br7_1_land2.x3p","Hamby173-Br7-B1-L2",FALSE,25,25,FALSE,376.5625,2353.125
"Hamby173-Br7-B1-L3","Hamby173","7","1",3,"NBTRD/Hamby 173 (2009) Barrel/bullets/br7_1_land3.x3p","Hamby173-Br7-B1-L3",FALSE,25,25,FALSE,307.8125,2251.18097403867
"Hamby173-Br7-B1-L4","Hamby173","7","1",4,"NBTRD/Hamby 173 (2009) Barrel/bullets/br7_1_land4.x3p","Hamby173-Br7-B1-L4",FALSE,75,75,FALSE,340.625,2159.62616555815
"Hamby173-Br7-B1-L5","Hamby173","7","1",5,"NBTRD/Hamby 173 (2009) Barrel/bullets/br7_1_land5.x3p","Hamby173-Br7-B1-L5",FALSE,50,50,FALSE,312.627361001795,2186.10877600257
"Hamby173-Br7-B1-L6","Hamby173","7","1",6,"NBTRD/Hamby 173 (2009) Barrel/bullets/br7_1_land6.x3p","Hamby173-Br7-B1-L6",FALSE,0,0,FALSE,375.845183235656,2298.02028889607
"Hamby173-Br7-B2-L1","Hamby173","7","2",1,"NBTRD/Hamby 173 (2009) Barrel/bullets/br7_2_land1.x3p","Hamby173-Br7-B1-L1",FALSE,0,0,FALSE,298.4375,2220.3125
"Hamby173-Br7-B2-L2","Hamby173","7","2",2,"NBTRD/Hamby 173 (2009) Barrel/bullets/br7_2_land2.x3p","Hamby173-Br7-B1-L2",FALSE,0,0,FALSE,146.875,2289.0625
"Hamby173-Br7-B2-L3","Hamby173","7","2",3,"NBTRD/Hamby 173 (2009) Barrel/bullets/br7_2_land3.x3p","Hamby173-Br7-B1-L3",FALSE,75,75,FALSE,390.625,2326.57435642292
